INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_100_100_4_1_5.txt;862;862;0;880;880;10015;880;880;203;880;880;0;880;880;0;880;880;8
;problem_100_100_4_2_5.txt;1680;1680;0;1765;1765;10015;1501;1501;10015;1765;1765;0;1765;1765;1;1765;1765;9
;problem_100_100_4_3_5.txt;2511;2511;0;2526;2526;10015;1255;1255;10015;2526;2526;0;2526;2526;2;2526;2526;11
;problem_100_100_4_4_5.txt;3119;3119;0;3125;3125;10015;1301;1301;10015;3143;3143;0;3143;3143;5;3143;3143;9
;problem_100_100_4_5_5.txt;4023;4023;15;3138;3138;10015;1243;1243;10015;4053;4053;0;4053;4053;11;4053;4053;13
;problem_100_500_1_1_5.txt;3749;11915;0;3941;6475;10015;1935;8689;10015;3977;12251;0;3977;12251;4;3977;12251;28
;problem_100_500_1_2_5.txt;7812;16700;0;7904;10276;10015;2222;8680;10015;7946;16827;0;7946;16827;14;7946;16827;22
;problem_100_500_1_3_5.txt;12908;20432;0;13109;14079;10015;2226;9217;10015;13119;20550;0;13119;20550;29;13119;20550;20
;problem_100_500_1_4_5.txt;17196;22806;0;16219;17484;10015;2061;7841;10015;17221;22811;0;17221;22811;52;17221;22811;13
;problem_100_500_1_5_5.txt;22848;25659;0;17744;18962;10015;2610;8773;10015;22848;25659;0;22848;25659;77;22848;25659;9
;problem_100_500_2_1_5.txt;3687;4427;0;3977;4143;10015;3977;4741;2796;3977;4741;0;3977;4741;3;3977;4741;315
;problem_100_500_2_2_5.txt;7733;8849;0;7945;8315;10015;3941;4725;10015;7945;9066;0;7945;9066;14;7945;9066;310
;problem_100_500_2_3_5.txt;12919;14155;0;13113;13567;10015;3940;4690;10015;13116;14354;0;13118;14354;24;13118;14354;29
;problem_100_500_2_4_5.txt;17130;18426;0;16519;16828;10015;3596;4529;10015;17230;18509;0;17230;18509;48;17230;18509;52
;problem_100_500_2_5_5.txt;22592;23438;0;18445;18688;10015;3788;4552;10015;22857;23677;0;22857;23677;74;22857;23677;34
;problem_100_500_3_1_5.txt;4047;4457;0;4164;4354;10015;1520;1770;10015;4164;4574;0;4164;4574;8;4164;4574;26
